study_id,composition,leadership,review
1,none,no,
2,,,no_doi
3,none,no,
4,none,no,
5,mixed,no,
6,,,no_doi
7,,,no_doi
8,,,no_doi
9,,,no_doi
10,all_african,yes,
11,none,no,
12,none,no,
13,all_african,yes,
14,all_african,yes,
15,none,no,
16,none,no,
17,all_african,yes,
18,all_african,yes,
19,none,no,
20,none,no,
21,mixed,yes,
22,none,no,
23,mixed,yes,
24,none,no,
25,none,no,some_authors_unaffiliated
26,mixed,yes,
27,all_african,yes,
28,mixed,no,
29,none,no,
30,all_african,yes,
31,,,no_doi
32,none,no,
33,mixed,yes,some_authors_unaffiliated
34,none,no,
35,none,no,
36,mixed,no,
37,mixed,no,some_authors_unaffiliated
38,all_african,no,some_authors_unaffiliated
39,all_african,yes,
40,,,no_doi
41,mixed,yes,
42,mixed,no,some_authors_unaffiliated
43,none,no,
44,,,not_in_openalex
45,none,no,
46,none,no,
47,mixed,no,
48,all_african,yes,
49,all_african,yes,some_authors_unaffiliated
50,mixed,yes,
51,none,no,
52,none,no,some_authors_unaffiliated
53,none,no,
54,all_african,yes,
55,none,no,
56,mixed,yes,
57,mixed,no,
58,none,no,
59,none,no,
60,mixed,no,some_authors_unaffiliated
61,none,no,
62,,,no_affiliations
63,,,no_doi
64,,,no_affiliations
65,all_african,yes,
66,,,no_doi
67,all_african,yes,
68,,,no_doi
69,,,no_doi
70,,,no_affiliations
71,mixed,yes,
72,all_african,yes,
73,none,no,
74,,,no_doi
75,,,no_doi
76,,,no_affiliations
77,,,no_doi
78,mixed,yes,
79,all_african,yes,
80,all_african,yes,
81,all_african,yes,
82,none,no,
83,all_african,yes,
84,mixed,yes,
85,,,no_affiliations
86,none,no,
87,all_african,yes,
88,mixed,no,
89,none,no,
90,none,no,
91,all_african,yes,
92,all_african,yes,
93,mixed,yes,
94,none,no,
95,all_african,yes,
96,all_african,yes,
97,all_african,yes,
98,mixed,yes,
99,none,no,
100,none,no,some_authors_unaffiliated
101,all_african,yes,
102,none,no,
103,all_african,yes,
104,mixed,no,
105,all_african,yes,
106,all_african,yes,
107,none,no,
108,,,no_doi
109,all_african,yes,
110,mixed,yes,
111,all_african,yes,
112,,,no_affiliations
113,none,no,
114,mixed,yes,
115,mixed,yes,
116,none,no,
117,all_african,yes,
118,mixed,no,
119,mixed,yes,
120,all_african,yes,
121,,,no_affiliations
122,mixed,yes,
123,all_african,yes,
124,,,no_doi
125,all_african,yes,
126,all_african,yes,
127,mixed,yes,some_authors_unaffiliated
128,all_african,yes,some_authors_unaffiliated
129,all_african,yes,
130,all_african,yes,some_authors_unaffiliated
131,none,no,
132,all_african,yes,
133,none,no,
134,none,no,some_authors_unaffiliated
135,mixed,yes,
136,,,no_doi
137,all_african,yes,some_authors_unaffiliated
138,none,no,some_authors_unaffiliated
139,none,no,
140,all_african,yes,
141,all_african,yes,
142,none,no,
143,mixed,no,
144,all_african,yes,
145,all_african,yes,
146,mixed,yes,
147,none,no,
148,mixed,yes,
149,all_african,yes,some_authors_unaffiliated
150,all_african,yes,
151,,,no_affiliations
152,all_african,yes,
153,all_african,yes,
154,mixed,yes,
155,none,no,
156,all_african,yes,
157,all_african,yes,
158,none,no,
159,all_african,yes,
160,all_african,yes,
161,all_african,yes,
162,all_african,yes,
163,none,no,
164,none,no,
165,none,no,some_authors_unaffiliated
166,mixed,yes,
167,all_african,yes,some_authors_unaffiliated
168,all_african,yes,
169,all_african,yes,
170,mixed,yes,
171,all_african,yes,
172,,,no_affiliations
173,none,no,
174,,,no_affiliations
175,,,no_doi
176,,,no_affiliations
177,none,no,some_authors_unaffiliated
178,all_african,yes,
179,all_african,yes,
180,none,no,
181,mixed,yes,
182,,,no_doi
183,,,no_doi
184,,,no_affiliations
185,mixed,yes,
186,all_african,yes,
187,none,no,
188,all_african,yes,some_authors_unaffiliated
189,all_african,yes,
190,all_african,yes,
191,none,no,
192,mixed,yes,
193,none,no,
194,,,no_doi
195,mixed,yes,
196,mixed,yes,
197,mixed,no,some_authors_unaffiliated
198,all_african,yes,
199,mixed,yes,
200,mixed,yes,
201,mixed,yes,
202,mixed,yes,
203,all_african,yes,
204,mixed,yes,
205,none,no,some_authors_unaffiliated
206,all_african,yes,
207,mixed,yes,
208,mixed,no,some_authors_unaffiliated
209,mixed,no,
210,mixed,yes,
211,all_african,yes,
212,mixed,yes,
213,none,no,
214,,,no_affiliations
215,mixed,yes,
216,mixed,no,
217,none,no,
218,none,no,
219,mixed,yes,
220,all_african,yes,
221,mixed,yes,
222,all_african,yes,
223,,,not_in_openalex
224,none,no,some_authors_unaffiliated
225,,,no_doi
226,mixed,yes,
227,none,no,
228,all_african,yes,
229,none,no,
230,all_african,yes,
231,,,no_doi
232,,,no_doi
233,,,no_doi
234,all_african,yes,
235,mixed,no,
236,mixed,yes,
237,mixed,no,
238,mixed,no,
239,none,no,
240,mixed,no,
241,mixed,no,
242,all_african,yes,
243,all_african,yes,
244,none,no,
245,,,no_doi
246,all_african,yes,some_authors_unaffiliated
247,all_african,yes,
248,all_african,yes,
249,none,no,some_authors_unaffiliated
250,all_african,yes,
251,,,not_in_openalex
252,none,no,
253,none,no,
254,all_african,no,some_authors_unaffiliated
255,none,no,
256,none,no,
257,all_african,yes,
258,none,no,
259,all_african,yes,
260,none,no,
261,,,no_doi
262,mixed,yes,
263,all_african,yes,some_authors_unaffiliated
264,none,no,some_authors_unaffiliated
265,all_african,yes,
266,mixed,yes,
267,all_african,yes,
268,,,not_in_openalex
269,all_african,yes,
270,none,no,
271,mixed,yes,
272,all_african,yes,
273,none,no,
274,,,no_doi
275,none,no,
276,mixed,yes,
277,mixed,yes,
278,none,no,
279,all_african,yes,
280,mixed,yes,
281,none,no,
282,all_african,yes,
283,all_african,yes,
284,all_african,yes,
285,none,no,some_authors_unaffiliated
286,mixed,yes,some_authors_unaffiliated
287,,,no_doi
288,,,no_doi
289,none,no,
290,all_african,yes,
291,all_african,yes,
292,all_african,yes,
293,all_african,yes,
294,all_african,yes,
295,all_african,yes,
296,,,no_affiliations
297,none,no,
298,all_african,yes,
299,mixed,yes,
300,all_african,yes,
301,,,no_doi
302,,,no_doi
303,all_african,yes,
304,all_african,yes,
305,all_african,yes,
306,all_african,yes,
307,mixed,yes,some_authors_unaffiliated
308,none,no,some_authors_unaffiliated
309,,,no_affiliations
310,all_african,yes,
311,,,no_doi
312,all_african,yes,
313,,,no_doi
314,none,no,
315,mixed,no,
316,mixed,yes,
317,none,no,some_authors_unaffiliated
